발명의명칭,출원인,출원일자,심사진행상태
"형광체 소자, 이를 이용한 LED 장치 및 이들의 제조방법(PHOSPHOR ELEMENT, LED DEVICE USING THEREOF AND METHODS FOR MANUFACTURING THEREOF)",삼성엘이디 주식회사(경기도 용인시 기흥구...),2008.11.17,등록결정(일반)
LED 패키지 모듈(LED PACKAGE MODULE),삼성엘이디 주식회사(경기도 용인시 기흥구...),2008.11.05,등록결정(일반)
백색 LED를 이용한 면광원 및 이를 구비한 LCD백라이트 유닛(Plane light source using white LED and LCD backlight unit comprising the same),삼성엘이디 주식회사(경기도 용인시 기흥구...),2007.03.05,원결정유지(심사전치)
LED 모듈 및 조명 장치(LED MODULE AND LIGHTING APPARATUS),삼성전자주식회사(경기도 수원시 영통구...),2018.01.31,등록결정(일반)
LED 백라이트유닛을 구비한 정보 디스플레이 장치에서의 가시광 통신 방법 및 이를 위한 정보 디스플레이 장치(METHOD FOR PERFORMING VISIBLE LIGHT COMMUNICATION IN INFORMATION DISPLAY DEVICE EQUIPPED LED BACK LIGHT UNIT AND THE INFORMATION DISPLAY DEVICE THEREFOR),삼성전자주식회사(경기도 수원시 영통구...),2011.07.28,거절결정(일반)
LED 램프(LED Lamp),삼성전자주식회사(경기도 수원시 영통구...),2010.10.06,거절결정(일반)
"조도 분포 조절용 렌즈 및 그 렌즈를 포함한 LED 패키지(Lens for controlling illuminance distribution, and LED(Light Emitting Diode) Package comprising the same Lens)",삼성전자주식회사(경기도 수원시 영통구...),2013.01.22,등록결정(재심사후)
"LED 광특성 평가장치, LED 광특성 평가방법 및 이를 활용한 LED 장치의 제조 방법(Apparatus and Method for evaluating optical property of LED and method of manufacturing LED device using the same)",삼성전자주식회사(경기도 수원시 영통구...),2010.02.05,등록결정(재심사후)
마이크로 LED 소자의 실장 구조(A mounting structure for mounting micro LED),삼성전자주식회사(경기도 수원시 영통구...),2018.11.09,
LED광원과 도광판을 포함하는 LED광원모듈(LED Light source module incorporated with LEDlight source(s) and a light guide plate),삼성전기주식회사(경기도 수원시 영통구...),2005.09.12,등록결정(일반)
LED 칩의 광특성 평가방법 및 이를 활용한 LED 장치의 제조 방법(Method for evaluating optical properties of LED chip and method of manufacturing LED device using the same),삼성전자주식회사(경기도 수원시 영통구...),2010.02.05,등록결정(재심사후)
"상, 중, 하부로 구성된 LED 광원용 렌즈(Lens for LED light source composed the upper, middle,low parts)",삼성전기주식회사(경기도 수원시 영통구...),2005.08.18,등록결정(일반)
마이크로 LED 현탁액 토출 장치 및 마이크로 LED 전사 방법(A DISPENSER FOR MICRO LED SUSPENSION AND THE METHOD OF TRANSFERING MICRO LED),삼성전자주식회사(경기도 수원시 영통구...),2021.04.16,
마이크로 LED 디스플레이 제조방법(THE METHOD OF MANUFACTURING MICRO LED DISPLAY),삼성전자주식회사(경기도 수원시 영통구...),2021.03.29,
LED 칩 실장 장치 및 상기 LED 칩 실장 장치를 이용한 표시 장치의 제조 방법(LED chip mounting apparatus and a method for manufacturing a display device using the LED chip mounting apparatus),삼성디스플레이 주식회사(경기 용인시 기흥구...),2016.03.22,
"LED 플리커 완화 기능을 가지는 이미지 센서 및 상기 이미지 센서를 포함하는 이미지 처리 시스템(AN IMAGE SENSOR HAVING LED FLICKER MITIGATION, AND AN IMAGE PROCESSING SYSTEM INCLUDING THE IMAGE SENSOR)",삼성전자주식회사(경기도 수원시 영통구...),2016.03.08,거절결정(일반)
전기적 컨택이 향상된 초소형 LED 전극 어셈블리 및 이의 제조 방법(Electrical contacts improved nano-scale LED electrode assembly and method for fabricating thereof),삼성디스플레이 주식회사(경기 용인시 기흥구...),2022.05.02,
발광 다이오드와 백플레인과 이들을 포함하는 LED 디스플레이(Light emitting diode and backplane and LED display including them),삼성전자주식회사(경기도 수원시 영통구...),2019.10.22,
LED 모듈 및 디스플레이 장치(LED MODULE AND DISPLAY APPARATUS),삼성전자주식회사(경기도 수원시 영통구...),2018.11.05,
"LED 검사 장치 및 그 방법(APPARATUS FOR TESTING LED, AND ITS METHOD)",삼성전자주식회사(경기도 수원시 영통구...),2011.06.15,등록결정(일반)
LED 검사 장치 및 그 방법(LED TESTING APPARATUS AND METHOD OF TESTING LED),삼성전자주식회사(경기도 수원시 영통구...),2017.11.10,
마이크로 LED 소자 및 그 제조 방법(Micro LED device and method for manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...),2019.10.22,
"LED 소자 및 그 제조방법과, LED 소자를 포함하는 디스플레이 장치(LED Device And Method For Manufacturing The LED Device, And Display Apparatus Including The LED Device)",삼성전자주식회사(경기도 수원시 영통구...)|서울대학교산학협력단(서울특별시 관악구...),2021.02.25,
"LED 소자 및 그 제조방법과, LED 소자를 포함하는 디스플레이 장치(LED device and method for manufacturing the LED device, and display apparatus including the LED device)",삼성전자주식회사(경기도 수원시 영통구...)|서울대학교산학협력단(서울특별시 관악구...),2019.11.26,
LED램프(LED LAMP),삼성전자주식회사(경기도 수원시 영통구...),2017.06.05,등록결정(일반)
마이크로 LED 정렬 방법 및 이를 적용한 마이크로 LED 디스플레이 제조 방법(Method for aligning micro LED and manufacturing micro LED display device applied the same),삼성전자주식회사(경기도 수원시 영통구...)|서울대학교산학협력단(서울특별시 관악구...),2019.12.13,
"LED 디스플레이 장치 및 그 동작 방법(LED display device, and method for operating the same)",삼성전자주식회사(경기도 수원시 영통구...),2016.11.04,
"LED 디스플레이 모듈, 디스플레이 장치 및 제어 방법(LED DISPLAY MODULE, DISPLAY APPARATUS AND CONTROLLING METHOD THEREOF)",삼성전자주식회사(경기도 수원시 영통구...),2016.04.25,
운전자의 눈부심 현상 감소가 가능한 LED터널등기구(LED TUNNEL LAMP FOR REDUCING DRIVER''S GLARINESS),삼성유리공업 주식회사(경상북도 영천시...),2016.01.08,등록결정(일반)
LED 전극 어셈블리 및 이의 제조 방법(LED electrode assembly and manufacturing method thereof),삼성디스플레이 주식회사(경기 용인시 기흥구...),2022.01.27,
LED 전사 방법 및 이에 의해 제조된 디스플레이 모듈(LED TRANSFERRING METHOD AND DISPLAY MODULE MANUFATURED BY THE SAME),삼성전자주식회사(경기도 수원시 영통구...),2019.10.23,
LED 어레이 구동 장치(LED ARRAY DRIVING APPARATUS),삼성전기주식회사(경기도 수원시 영통구...),2007.05.18,등록결정(일반)
금속 기판에 LED 패키지를 삽입한 LED 어셈블리(LED ASSEMBLY HAVING LED PACKAGE INSERTED INTO METALBOARD),삼성전기주식회사(경기도 수원시 영통구...),2005.08.19,등록결정(일반)
"후크 및 후크 홈을 갖는 LED 패키지, 이들 LED패키지의 어셈블리 및 이들 LED 패키지를 포함하는 조명장치(LED PACKAGE HAVING HOOK AND HOOK-RECEIVING GROOVE,ASSEMBLY OF SUCH LEDS AND LIGHTING EQUIPMENT)",삼성전기주식회사(경기도 수원시 영통구...),2005.08.02,등록결정(일반)
백색 LED 광원 모듈(WHITE LIGHT LED LIGHT SOURCE MODULE),삼성전기주식회사(경기도 수원시 영통구...),2007.01.26,등록결정(일반)
LED 구동 디바이스(DEVICE FOR DRIVING LED),삼성전기주식회사(경기도 수원시 영통구...),2007.06.20,등록결정(일반)
과전압 보호 및 듀티 제어 기능을 갖는 LED 구동장치(LED DRIVING APPARATUS HAVING FUCTION OF OVER-VOLTAGEPROTECTION AND DUTY CONTROL),삼성전기주식회사(경기도 수원시 영통구...),2006.04.24,등록결정(일반)
LED 구동 장치 및 조명 장치(LED DRIVING APPARATUS AND LIGHTING APPARATUS),삼성전자주식회사(경기도 수원시 영통구...),2017.09.05,
LED 구동 장치 및 조명 장치(LED DRIVING APPARATUS AND LIGHTING APPARATUS),삼성전자주식회사(경기도 수원시 영통구...),2016.01.13,
LED 구동 장치 및 발광 장치(LED DRIVING DEVICE AND LIGHTING DEVICE),삼성전자주식회사(경기도 수원시 영통구...),2016.02.22,
마이크로 LED 전사 장치 및 이를 이용한 마이크로 LED 전사 방법(MICRO LED TRANSFER DEVICE AND MICRO LED TRANSFERRING METHOD USING THE SAME),삼성전자주식회사(경기도 수원시 영통구...),2018.11.20,
LED 구동 장치 및 그를 포함하는 조명 장치(LED DRIVING APPARATUS AND LIGHT APPARATUS INCLUDING THE SAME),삼성전자주식회사(경기도 수원시 영통구...),2015.09.02,등록결정(일반)
파워 LED 모듈의 회로저항 차이를 극복하는 저 발열형 전류 분배 안정화 장치(HEAT CONTROL AND CURRENT DISTRIBUTION STABILIZATION APPARATUS FOR SURMOUNTING A DIFFERENCE CIRCUIT RESISTANCE OF POWER LED MODULE AND METHOD THEREFOR),삼성유리공업 주식회사(경상북도 영천시...),2017.12.27,등록결정(일반)
정전기(ESD) 바이패스(BY-PASS)를 확보한 정전기(ESD) 방전 차단 LED 조명 모듈(Electrostatic discharge prevention LED lighting module with an electrostatic bypass),삼성유리공업 주식회사(경상북도 영천시...),2017.09.11,등록결정(일반)
"LED 패키지 및 그 제조방법과 이를 이용한 LED어레이 모듈(LED PACKAGE STRUCTURE AND MANUFACTURING METHOD, AND LEDARRAY MODULE)",삼성전자주식회사(경기도 수원시 영통구...),2005.06.10,등록결정(일반)
LED 모듈 및 제조방법(LED MODULE AND METHOD OF FABRICATING THE LED MODULE),삼성전자주식회사(경기도 수원시 영통구...),2019.10.29,
LED 칩을 이용한 디스플레이 장치의 제조방법(Method of manufacturing display device using LED chips),삼성에스디아이 주식회사(경기도 용인시 기흥구...),2006.03.21,등록결정(일반)
LED 패키지의 제조 장치 및 제조 방법(MANUFACTURING APPRATUS AND MANUFACTURING METHOD OF LED PACKAGE),삼성전자주식회사(경기도 수원시 영통구...),2010.11.16,등록결정(일반)
LED 패키지 및 그 제조방법(LED PACKAGE AND FABRICATING METHOD THEREOF),삼성전기주식회사(경기도 수원시 영통구...),2005.07.20,등록결정(일반)
열전달부에 오목부가 형성된 LED 패키지(LED PACKAGE HAVING RECESS IN HEAT TRANSFER PART),삼성전기주식회사(경기도 수원시 영통구...),2005.08.08,등록결정(일반)
LED 패키지 프레임 및 이를 채용하는 LED 패키지(LED PACKAGE FRAME AND LED PACKAGE HAVING THE SAME),삼성전기주식회사(경기도 수원시 영통구...),2005.01.31,등록결정(일반)
양면 조명용 LED 렌즈와 LED 모듈 및 이를 이용한 LED 양면 조명장치(The two-sided illumination LED lenses and LED modules and LED two-sided illuminating systems which use this),삼성전자주식회사(경기도 수원시 영통구...),2010.01.28,등록결정(일반)
LED 구동 회로(LED driving circuit),삼성전기주식회사(경기도 수원시 영통구...),2009.03.23,등록결정(일반)
LED 구동회로(LED DRIVING CIRCUIT),삼성전자주식회사(경기도 수원시 영통구...),2006.08.25,등록결정(일반)
이온풍을 이용한 방열유닛 및 LED조명유닛(Cooling unit and LED lighting unit using ionic wind),삼성전자주식회사(경기도 수원시 영통구...),2011.01.07,등록결정(일반)
자외선-LED 램프 장치 및 그의 튜닝 방법(UV-LED LAMP APPARATUS AND METHOD OF TUNING THE SAME),삼성전자주식회사(경기도 수원시 영통구...),2018.05.21,
플래시 LED 모듈(FLASH LED MODULE),삼성전자주식회사(경기도 수원시 영통구...),2021.02.04,
방열성능이 향상된 아웃도어 LED조명용 메탈 PCB(METAL PRINTED CIRCUIT BOARD ENHANCING RADIATION OF HEAT FOR OUTDOOR LED LIGHTING),삼성유리공업 주식회사(경상북도 영천시...),2017.11.06,등록결정(일반)
LED 조명의 검사 장치 및 검사 방법(DEVICD AND METHOD FOR TESTING LED LIGHTING DEVICE),삼성전자주식회사(경기도 수원시 영통구...),2015.09.22,등록결정(일반)
반도체 발광소자 및 이를 이용한 LED 모듈(SEMICONDUCTOR LIGHT EMITTING DEVICE AND LED MODULE USING THE SAME),삼성전자주식회사(경기도 수원시 영통구...),2017.05.30,등록결정(일반)
LED디스플레이 및 이를 포함하는 전자 장치(LED DISPLAY AND ELECTRONIC DEVICE INCLUDING THE SAME),삼성전자주식회사(경기도 수원시 영통구...),2021.01.29,
LED 제어 장치 및 이를 포함하는 조명 장치(LED CONTROL DEVICE AND LIGHTING DEVICE INCLUDING THE SAME),삼성전자주식회사(경기도 수원시 영통구...),2021.01.25,
마이크로 LED 디스플레이 모듈 및 이를 제조하는 방법(MICRO LED DISPLAY MODULE AND MANUFACTURING METHOD OF THE SAME),삼성전자주식회사(경기도 수원시 영통구...),2019.07.04,
LED 패키지를 구비한 디스플레이 모듈 및 그 제조 방법(DISPLAY MODULE HAVING LED PACKAGES AND MANUFATURING METHOD AS THE SAME),삼성전자주식회사(경기도 수원시 영통구...),2019.07.25,
LED 소자 및 이를 포함하는 LED 디스플레이 모듈(MICRO LED ELEMENT AND MICRO LED DISPLAY MODULE HAVING THE SAME),삼성전자주식회사(경기도 수원시 영통구...),2019.08.13,
마이크로 LED 디스플레이 모듈 및 이를 제조하는 방법(MICRO LED DISPLAY MODULE AND MANUFACTURING METHOD OF THE SAME),삼성전자주식회사(경기도 수원시 영통구...),2019.07.03,
광 센서 일체형 플래시 LED 패키지(FLASH LED PACKAGE WITH LIGHT SENSOR),삼성전자주식회사(경기도 수원시 영통구...),2019.08.07,
LED 전송 장치를 포함하는 전자 장치 및 그 제어 방법(ELECTRONIC APPARATUS INCLUDING LED TRANSMISSION DEVICE AND CONTROLLING METHOD THEREOF),삼성전자주식회사(경기도 수원시 영통구...),2019.07.22,
LED 전사 방법 및 이에 의해 제조된 디스플레이 모듈(LED DEVICES TRANSFERRING METHOD AND DISPLAY MODULE MANUFACTURED THRERBY),삼성전자주식회사(경기도 수원시 영통구...),2019.07.12,
LED 광원 모듈 및 디스플레이 장치(LED LIGHTING SOURCE MODULE AND DISPLAY APPARATUS),삼성전자주식회사(경기도 수원시 영통구...),2016.04.04,
"적색형광체, 그 제조방법, 이를 이용한 적색 LED소자,백색 LED 소자 및 능동 발광형 액정 디스플레이 소자(Phosphor, method for preparing the same, red LED usingthe phosphor, white LED using the phosphor, and activedynamic LCD)",삼성전기주식회사(경기도 수원시 영통구...)|한국화학연구원(대전광역시 유성구...),2003.11.01,등록결정(일반)
금속 기판을 이용한 LED 패키지 및 그 제조 방법(LED PACKAGE COMPRISING METAL SUBSTRATE ANDMENUFACTURING METHOD THEREOF),삼성전기주식회사(경기도 수원시 영통구...),2005.08.01,등록결정(일반)
"마이크로 LED 디스플레이, 마이크로 LED 전사기판 및 이를 이용한 마이크로 LED 전사방법(Micro-LED displays, micro-LED transferring substrates and methods of transferring micro-LEDs using the same)",삼성전자주식회사(경기도 수원시 영통구...),2021.03.31,
가스 내부누출 자동 검사 방법 및 LED 칩 제조 방법(Method of automatic inspection to gas internal leak and method of LED chip manufacture),삼성전자주식회사(경기도 수원시 영통구...),2014.07.29,등록결정(취소환송후)
LED 전극 어셈블리 및 이의 제조 방법(LED electrode assembly and manufacturing method thereof),삼성디스플레이 주식회사(경기 용인시 기흥구...),2020.10.23,등록결정(일반)
LED 패키지의 광특성 측정 장치(Appratus for measuring optical properties of LED package),삼성전자주식회사(경기도 수원시 영통구...),2010.11.01,취하(심사미청구)
고출력 LED 패키지 및 그 제조방법(HIGH POWER LED PACKAGE AND FABRICATION METHOD THEREOF),삼성전기주식회사(경기도 수원시 영통구...),2005.06.03,등록결정(일반)
LED 조명 장치(LED LIGHTING APPARATUS),삼성전자주식회사(경기도 수원시 영통구...),2014.01.22,등록결정(일반)
LED 패키지 모듈(LED package module),삼성전자주식회사(경기도 수원시 영통구...),2008.08.21,취하(심사미청구)
"LED 패키지 및 그 제조방법과 이를 이용한 LED어레이 모듈(LED PACKAGE STRUCTURE AND MANUFACTURING METHOD, AND LEDARRAY MODULE)",삼성전자주식회사(경기도 수원시 영통구...),2005.07.29,등록결정(일반)
LED 백라이트 장치의 도광판(LIGHT GUIDE PLATE IN USE WITH LED BACKLIGHT UNIT),삼성전기주식회사(경기도 수원시 영통구...),2005.11.23,등록결정(일반)
LED 패키지(LED package),삼성전자주식회사(경기도 수원시 영통구...),2014.03.14,등록결정(일반)
LED구동장치(LED DRIVER),삼성전자주식회사(경기도 수원시 영통구...),2005.02.26,등록결정(일반)
에러 검출 기능을 갖는 LED 구동 회로(LED DRIVING CIRCUIT WITH ERROR DETECTING FUNCTION),삼성전기주식회사(경기도 수원시 영통구...),2009.12.09,등록결정(일반)
LED 패키지 및 이를 구비한 액정표시장치용 백라이트어셈블리(LED PACKAGE AND BACKLIGHT ASSEMBLY FOR LCD DEVICECOMPRISING THE SAME),삼성전기주식회사(경기도 수원시 영통구...),2004.05.28,등록결정(일반)
LED를 채용한 조명유닛 및 이를 채용한 화상투사장치(Illumination unit adopting LED and projection displayusing the same),삼성전자주식회사(경기도 수원시 영통구...),2004.10.01,등록결정(일반)
LED 패키지 및 그 제조방법(LED PACKAGE STRUCTURE AND MANUFACTURING METHOD FOR THESAME),삼성전자주식회사(경기도 수원시 영통구...),2005.08.08,등록결정(일반)
LED 패키지 및 이를 구비한 광원(LED PACKAGE AND LIGHT SOURCE COMPRISING THE SAME),삼성전기주식회사(경기도 수원시 영통구...),2004.07.02,등록결정(일반)
LED 어레이 구동 장치 및 이를 이용한 백라이트 구동 장치(LED array driving apparatus and backlight driving apparatus using the same),삼성전기주식회사(경기도 수원시 영통구...),2005.02.04,등록결정(일반)
반도체 엘이디(LED) 소자(Semiconductor LED device),에피밸리 주식회사(경기 광주군...)|삼성전기주식회사(경기도 수원시 영통구...),2001.05.31,등록결정(일반)
LED 패키지(LED PACKAGE),삼성전기주식회사(경기도 수원시 영통구...),2003.11.20,등록결정(일반)
온도보상기능을 갖는 LED 구동 장치(LED DRIVING APPARATUS WITH TEMPERATURE COMPENSATIONFUNCTION),삼성전기주식회사(경기도 수원시 영통구...),2006.01.24,등록결정(일반)
LED구동장치(LED DRIVER),삼성전자주식회사(경기도 수원시 영통구...),2005.02.02,등록결정(일반)
LED 패키지(LED Package),삼성전기주식회사(경기도 수원시 영통구...),2005.11.15,등록결정(일반)
LED 패키지(LED Package),삼성전기주식회사(경기도 수원시 영통구...),2006.04.21,등록결정(심사전치후)
LED구동장치(LED DRIVER),삼성전자주식회사(경기도 수원시 영통구...),2005.02.15,등록결정(일반)
LED 전극 어셈블리 및 이의 제조 방법(LED electrode assembly and manufacturing method thereof),삼성디스플레이 주식회사(경기 용인시 기흥구...),2019.12.02,등록결정(일반)
LED를 채용한 조명유닛 및 이를 채용한 화상투사장치(Illumunation unit adopting LED and projection displayusing the same),삼성전자주식회사(경기도 수원시 영통구...),2004.09.24,등록결정(일반)
온도 보상 기능을 갖는 LED 구동 제어 회로(A CIRCUIT FOR CONTROLLING LED DRIVING WITH TEMPERATURECOMPENSATION),삼성전기주식회사(경기도 수원시 영통구...),2005.09.09,등록결정(심사전치후)
"LED 구동 장치 및 방법, 이를 이용하는 LED 구동 시스템 및 액정 표시 장치(Appratus and method for driving LED, system for driving LED using the same, Liquid crystal display appratus comprising the system)",삼성전자주식회사(경기도 수원시 영통구...),2009.09.01,취하(심사미청구)
튜브형 LED조명장치(TUBE TYPE LED LIGHTING APPARATUS),삼성전자주식회사(경기도 수원시 영통구...),2012.03.21,취하(심사미청구)
LED구동장치(LED DRIVER),삼성전자주식회사(경기도 수원시 영통구...),2005.02.26,등록결정(일반)
LED 조명 모듈(LED lighting module),삼성전자주식회사(경기도 수원시 영통구...),2011.10.04,거절결정(일반)
LED 백라이트 구동시스템(LED BACKLIGHT DRIVING SYSTEM),삼성전기주식회사(경기도 수원시 영통구...),2006.05.08,거절결정(일반)
양자점을 이용한 백색광 LED 소자 및 그 제조방법(White LED element using quantum dots and the producing method thereof),재단법인서울대학교산학협력재단(서울특별시 관악구...)|삼성전자주식회사(경기도 수원시 영통구...),2007.12.14,등록결정(일반)
LED 하우징 및 그 제조 방법(LED HOUSING AND FABRICATION METHOD THEREOF),삼성전기주식회사(경기도 수원시 영통구...),2005.02.17,등록결정(일반)
LED 패키지(LED package),삼성전자주식회사(경기도 수원시 영통구...),2008.06.24,등록결정(일반)
LED 패키지(LED PACKAGE),삼성전기주식회사(경기도 수원시 영통구...),2007.01.09,거절결정(일반)
LED 광원이 도광판에 삽입된 백라이트 장치의광원-도광판 구조 및 이를 포함하는 백라이트 장치(LIGHT SOURCE-GUIDE STRUCTURE OF BACKLIGHT APPARATUSWITH LED LIGHT SOURCE INSERTED INTO LIGHT GUIDE PLATEAND BACKLIGHT APPARATUS HAVING THE SAME),삼성전기주식회사(경기도 수원시 영통구...),2005.07.06,등록결정(일반)
고출력 LED 패키지 및 그 제조방법(HIGH POWER LED PACKAGE AND FABRICATION METHOD THEREOF),삼성전기주식회사(경기도 수원시 영통구...),2006.11.21,등록결정(일반)
LED 패키지 제조방법(Method for manufacturing LED package),삼성전기주식회사(경기도 수원시 영통구...),2006.12.15,거절결정(일반)
백색 LED 소자들을 제조하는 방법(Method of Fabricating White LED Devices),삼성전자주식회사(경기도 수원시 영통구...),2013.12.23,등록결정(일반)
전기적 컨택이 향상된 초소형 LED 전극 어셈블리(Electrical contacts improved nano-scale LED electrode assembly),삼성디스플레이 주식회사(경기 용인시 기흥구...),2018.06.22,거절결정(일반)
LED 패키지 및 그 제조방법(LED PACKAGE STRUCTURE AND MANUFACTURING METHOD),삼성전자주식회사(경기도 수원시 영통구...),2005.08.04,등록결정(일반)
LED 패키지 제조방법 및 백색 광원 모듈 제조방법(Method for Manufacturing LED Package and White LightSource Module),삼성전기주식회사(경기도 수원시 영통구...),2006.09.21,등록결정(일반)
LED 모듈 및 이를 포함하는 LED 램프(LED MODULE AND LED LAMP INCLUDING THE SAME),삼성전자주식회사(경기도 수원시 영통구...),2018.08.08,
과전류/과전압 보호 기능을 갖는 직류-직류 컨버터 및 이를구비한 LED 구동회로(DC-DC CONVERTOR HAVING OVER-VOLTAGE/OVER-CURRENTPROTECTION FUNCTION AND LED DRIVING CIRCUIT COMPRISINGTHE SAME),삼성전기주식회사(경기도 수원시 영통구...),2005.05.18,등록결정(일반)
반도체 LED 소자(Semiconductor LED Device),에피밸리 주식회사(경기 광주군...)|삼성전기주식회사(경기도 수원시 영통구...),2002.07.18,등록결정(심사전치후)
칼라 LED 백라이트의 드라이브 장치(DRIVE APPARATUS OF COLOR LED BACKLIGHT),삼성전기주식회사(경기도 수원시 영통구...),2006.02.09,등록결정(일반)
LED 패키지의 제조방법(Method for Manufacturing LED Package),삼성전기주식회사(경기도 수원시 영통구...),2007.02.12,등록결정(일반)
LED 패키지용 기판 및 LED 패키지 제조방법(A SUBSTRATE FOR A LED PACKAGE AND MANUFACTURING METHOD OF A LED PACKAGE),삼성전자주식회사(경기도 수원시 영통구...),2012.01.09,취하(심사미청구)
LED 패키지(LED PACKAGE),삼성전기주식회사(경기도 수원시 영통구...),2005.05.31,등록결정(일반)
LED 패키지(LED Package),삼성전기주식회사(경기도 수원시 영통구...),2007.03.14,등록결정(일반)
LED 조명을 이용한 실내 측위 시스템 및 방법(SYSTEM AND METHOD FOR INDOOR NAVIGATION USING LED LAMP),삼성전자주식회사(경기도 수원시 영통구...),2010.01.15,취하(심사미청구)
백라이트 유니트용 LED 패키지(LED PACKAGE FOR BACK LIGHT UNIT),삼성전기주식회사(경기도 수원시 영통구...),2004.07.28,등록결정(심사전치후)
LED 도트 매트릭스 구동 장치 및 그 구동 방법(Apparatus for driving LED dot matrix and driving method thereof),삼성전자주식회사(경기도 수원시 영통구...),2007.10.01,거절결정(일반)
고출력 LED 하우징 및 그 제조 방법(HIGH POWER LED HOUSING AND PACKAGE AND FABRICATION METHOD THEREOF),삼성전기주식회사(경기도 수원시 영통구...),2005.02.17,등록결정(일반)
LED 어레이 모듈(LED ARRAY MODULE),삼성전자주식회사(경기도 수원시 영통구...),2005.07.01,등록결정(일반)
마이크로 LED 디스플레이 픽셀 아키텍처(MICRO LED DISPLAY PIXEL ARCHITECTURE),삼성전자주식회사(경기도 수원시 영통구...),2017.01.11,
고출력 LED 패키지 및 그 제조방법(High Power LED Package and Fabricating Method thereof),삼성전자주식회사(경기도 수원시 영통구...),2008.10.02,취하(심사미청구)
LED 발광 장치 및 그 제어 방법(A LED lighting device and a method for controlling thesame),삼성전자주식회사(경기도 수원시 영통구...),2006.09.26,등록결정(일반)
휴대단말기의 도트 LED 이미지 생성 장치 및 방법(DEVICE AND METHOD FOR CREATING DOT LED IMAGE IN WIRELESS TERMINAL),삼성전자주식회사(경기도 수원시 영통구...),2010.10.20,취하(심사미청구)
디밍 회로를 갖는 LED 구동회로(LED DRIVING CIRCUIT COMPRISING DIMMING CIRCUIT),삼성전기주식회사(경기도 수원시 영통구...),2005.05.18,등록결정(일반)
LED구동장치(LED DRIVER),삼성전자주식회사(경기도 수원시 영통구...),2005.02.18,등록결정(일반)
LED 백라이트유닛을 구비한 정보 디스플레이 장치에서의 가시광 통신 방법 및 이를 위한 정보 디스플레이 장치(METHOD FOR PERFORMING VISIBLE LIGHT COMMUNICATION IN INFORMATION DISPLAY DEVICE EQUIPPED LED BACK LIGHT UNIT AND THE INFORMATION DISPLAY DEVICE THEREFOR),삼성전자주식회사(경기도 수원시 영통구...),2011.07.28,거절결정(일반)
LED 어레이 회로(LED Array Circuit),삼성전기주식회사(경기도 수원시 영통구...),2005.01.19,거절결정(일반)
입사광을 균일하게 분포시키기 위한 도광판을 구비한 LED 조명장치(LED illumination system having light guide panel distributing incident rays evenly),삼성전기주식회사(경기도 수원시 영통구...),2005.11.17,등록결정(일반)
반도체 발광 소자 및 LED 모듈(SEMICONDUCTOR LIGHT EMITTING DEVICE AND LED MODULE),삼성전자주식회사(경기도 수원시 영통구...),2011.12.29,취하(심사미청구)
고출력 LED 패키지 및 그 제조방법(HIGH POWER LED PACKAGE AND FABRICATION METHOD THEREOF),삼성전기주식회사(경기도 수원시 영통구...),2005.05.30,등록결정(일반)
