심사진행상태,출원일자,발명의명칭,출원인
등록결정(일반),2000.12.22,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in asemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.26,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in asemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.26,모스 트랜지스터의 제조방법(METHOD OF MANUFACTURING MOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.22,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in asemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.19,반도체 소자의 얕은 접합 트랜지스터 제조 방법(Method of manufacturing a transistor having a shallowjunction in a semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.13,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in asemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.11,트랜지스터 및 그의 제조 방법(A transistor and method for manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2000.12.07,모스형 전계효과 트랜지스터 제조방법(Method For Forming The MOS-FET Transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.08,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in asemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.12.08,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in asemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2000.12.12,웨이퍼 세정장치 및 이를 이용한 TFT 소자의 제조방법(Wafer Cleaning Device And Method for Fabricating ThinFilm Transistor Device By Using The Same),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2000.12.07,모스형 트랜지스터 제조방법(Method For Forming The MOS-Transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),2000.12.05,박막트랜지스터 및 그 제조방법(Thin Film Transistor and Fabrication Method for thesame),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.11.20,에스램 소자의 트랜지스터 제조방법(METHOD FOR MANUFACTURING TRANSISTOR IN SRAM DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.11.09,플래쉬 메모리 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in a flash memorydevice),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.10.25,강유전체의 분극 상태에 따라 문턱전압이 조절되는 트랜지스터를 구비하는 강유전체 메모리 소자의 레퍼런스 회로(Reference circuit having transistor of which threshold voltage controlled by ferroelectric polarization in FeRAM),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.09.16,시모스(CMOS) 트랜지스터의 제조 방법(Method for manufacturing CMOS transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.08.31,콘택 트랜지스터 및 그 형성방법(A contact transistor and a method for forming the same),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.07.29,트랜지스터 및 그 제조 방법(Transistor and a method for manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.07.26,트랜지스터 제조방법(FABRICATING METHOD OF TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.07.26,반도체장치의 살리사이드구조 트랜지스터 제조방법(Salicide type transistor in a semiconductor device and fabricating method thereof),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.07.04,시모스(CMOS) 트랜지스터 및 그 제조 방법(CMOS transistor and method for manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.06.30,반도체 소자의 트랜지스터 형성방법(METHOD FOR FORMING TRANSISTOR IN SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.06.30,트랜지스터 및 그의 제조 방법(TRANSISTOR AND METHOD FOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.06.29,이에스디 보호 회로의 트랜지스터 및 그의 제조 방법(Transistor in ESD protection circuit and method formanufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.06.26,에스램의 풀-업 소자용 박막 트랜지스터의 제조방법(METHOD OF FABRICATING THIN FILM TRANSISTOR FOR PULL-UPDEVICE OF SRAM),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.06.30,트랜지스터의 제조방법(Method for manufacturing transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.06.30,표준 반도체 공정을 이용한 수직형 트랜지스터의 제조 방법(METHOD FOR MAKING A VERTICAL TYPE TRANSISTOR USING ASTANDARD SEMICONDUCTOR PROCESS),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.06.22,시모스(CMOS) 트랜지스터 및 그 제조 방법(CMOS transistor and method for manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
거절결정(일반),2000.06.29,트랜지스터의 제조 방법(METHOD FOR MANUFACTURING TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.06.29,이에스디 보호 회로의 트랜지스터 및 그의 제조 방법(Transistor in ESD protection circuit and method formanufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.03.24,반도체장치의 트랜지스터 및 그 제조방법(Transistor in a semiconductor device and fabricatingmethod thereof),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.02.25,고전압 트랜지스터의 제조방법(FABRICATING METHOD OF HIGH VOLTAGE TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.02.21,저전압 트랜지스터의 제조방법(method for manufacturing of low voltage transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.02.17,트랜지스터 형성방법(TRANSISTOR FORMING METHOD),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.02.11,트랜지스터 형성방법(TRANSISTOR FORMING METHOD),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.02.16,트랜지스터 형성방법(TRANSISTOR FORMING METHOD),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),2000.02.16,반도체장치의 트랜지스터 제조방법(Method of fabricating a transistor in a semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.30,트랜지스터의 제조 방법(Method for manufacturing transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.30,반도체소자의 트랜지스터 제조방법(A method for fabricating transistor of a semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.31,트랜지스터의 제조 방법(Method for manufacturing transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.30,반도체소자의 트랜지스터 형성방법(Forming method for transistor of semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.30,반도체장치의 PMOS트랜지스터 제조 방법(Method of forming of PMOS type transistor insemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.31,반도체소자의 트랜지스터 형성방법(A method for forming a transistor of a semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1999.12.31,반도체소자의 트랜지스터 제조방법(A method for fabricating a transistor of asemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.29,모스형 트랜지스터 제조방법(Method For Forming The Source And Drain OfMOS-Transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.30,트랜지스터의 제조 방법(Method for manufacturing transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.28,트랜지스터 및 그의 제조 방법(Transistor and method for manufacturing the same),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.29,트렌치형 게이트전극 구조의 트랜지스터 및 그 제조방법(Transistor of trench type gate electrode structrue andmethod for forming thereof),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1999.12.27,스탠 바이 전류를 감소시키기 위한 박막 트랜지스터의제조 방법(METHOD OF FABRICATING THIN FILM TRANSISTOR FORDIMINISHING STAND-BY CURRENT),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(심사전치후),1999.12.27,반도체 소자의 트랜지스터 제조방법(A method of manufacturing a transistor in asemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
거절결정(일반),1999.12.27,게이트 전극 사이의 상호 확산을 방지하기 위한 CMOS트랜지스터 제조 방법(METHOD OF FABRICATING CMOS TRANSISTOR FOR PROTECTINGINTERDIFFUSION BETWEEN GATE ELECTRODES OF THAT),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1999.12.24,반도체소자의 트랜지스터 제조방법(A method for forming a transistor of a semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(심사전치후),1999.12.24,높은 문턱전압 트랜지스터(A transistor of a high threshold voltage),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1999.12.24,반도체소자의 트랜지스터 형성방법(A method for forming a transistor of a semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.24,씨모스 트랜지스터의 게이트전극 형성방법(METHOD FOR GATE ELECTRODE IN CMOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1999.12.23,박막 트랜지스터 제조 방법(METHOD OF MANUFACTURE THIN FILM TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.22,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in asemiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.24,반도체소자의 트랜지스터 형성방법(A method for forming a transistor of semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.22,트랜지스터의 제조방법(Method of fabricating transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.18,트렌치 측벽을 채널층으로 사용하는 트렌치 트랜지스터의제조 방법(METHOD OF FORMING TRENCH TRANSISTOR OR INTEGRATEDCIRCUIT USING TRENCH SIDEWALL AS A CHANNEL),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.21,출력 신호의 천이 레벨이 조절 가능한 CMOS 인버터 회로(CMOS INVERTER CIRCUIT WITH VARIABLE OUTPUT SIGNALTRANSITION LEVEL USING FLOATING GATE TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.17,SRAM의 MOS 트랜지스터 및 박막 트랜지스터의게이트전극 형성방법(Method for forming SRAM MOS transistor and Thin FilmTransistor gate),에스케이하이닉스 주식회사(경기도 이천시...)
거절결정(일반),1999.12.16,NMOS 트랜지스터를 풀-업 트랜지스터로 사용하는 출력버퍼 회로(OUTPUT BUFFER USING NMOS TRANSISTOR AS PULL-UPTRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
거절결정(일반),1999.12.22,트랜지스터 형성방법(Method of fabricating transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.20,싱글 일렉트론 트랜지스터 제조방법(METHOD FOR MANUFACTURING SINGLE ELECTRON TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.15,LDD용 버퍼막을 갖는 반도체장치의 트랜지스터 제조방법(Method for forming transistor provided with bufferlayer for LDD screen),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.17,LDD 구조의 모스 트랜지스터 제조방법(Method for fabricating MOS transistor with LDDstructure),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.10,반도체 소자의 트랜지스터 형성방법(Method of forming a transistor in a semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.12.17,반도체장치의 트랜지스터 형성 방법(METHOD FOR FORMING TRANSISTOR OF A SEMICONDUCTORDEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.11.25,플랫 롬 트랜지스터의 제조 방법(Method for fabricating of flat ROM transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.11.03,앨디디(LDD)구조의 트랜지스터 제조방법(METHOD FOR MANUFACTURING TRANSISTOR HAVING LDDSTRUCTURE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.11.09,폴리 게이트 인버젼 트랜지스터(Poly gate inversion transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.11.03,모스 트랜지스터 제조방법(MANUFACTURING METHOD FOR MOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.11.10,트랜지스터 형성방법(TRANSISTOR FORMING METHOD),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.10.27,모스 트랜지스터 제조방법(MANUFACTURING METHOD FOR MOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.10.27,모스 트랜지스터 제조방법(MANUFACTURING METHOD FOR MOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.10.20,메탈 게이트를 채용한 트랜지스터 제조방법(METHOD FOR MANUFACTURING TRANSISTOR ADOPTED METALGATE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.10.21,플래시 셀 어레이에서 세그먼트 트랜지스터와 셀 어레이를 연결하는 방법(method for doing contact segment transistor and cellarray in flash cellarray),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.10.19,모스 트랜지스터 제조방법(MANUFACTURING METHOD FOR MOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.08.12,모스전계효과트랜지스터 소자의 제조방법(FORMATION METHOD OF DEVICE OF MOS FIELD EFFECT TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.07.30,씨모스 트랜지스터를 구비하는 반도체 소자 및 그 제조 방법(Method for forming semiconductor device having CMOS transistor and method of it),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1999.07.02,반도체장치의 트랜지스터 제조 방법(METHOD FOR MANUFACTURING TRANSISTOR OF A SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1999.07.02,박막트랜지스터의 게이트산화막 형성방법(Method For Forming The Gate Oxide Layer Of Thin Film Transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.07.01,트리플 게이트를 갖는 트랜지스터의 구조 및 그 제조방법(Structure of transistor provided with triple-gate an method of forming the same),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.06.30,반도체소자의 트랜지스터 형성방법(Forming method for transistor of semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.06.29,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in a semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.06.24,정전기 보호용 트랜지스터(TRANSISTOR FOR PROTECTING ESD),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.06.28,정전방전 보호용 모스 트랜지스터의 제조 방법(Method of manufacturing MOS transistor for ESD protection),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.06.22,수직 구조형 트랜지스터를 갖는 반도체 메모리 소자 및 그의 제조방법(SEMICONDUCTOR MEMORY DEVICE HAVING A VERTICAL STRUCTURE TYPE TRANSISTOR AND METHOD OF MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.06.30,유전체를 이용한 트랜지스터 형성 방법(Method of forming a transistor using a dielectric),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1999.06.22,반도체소자의 박막트랜지스터 제조방법(Method For Manufacturing The Thin Film Transistor Of Semiconductor Device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.06.28,모스 트랜지스터 제조방법(MENUFACTURING METHOD FOR MOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.06.24,반도체 소자의 트랜지스터 제조 방법(Method of manufacturing a transistor in a semiconductor device),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1999.04.22,반도체장치의 트랜지스터 형성방법(Method For Forming The Transistor Of Semiconductor Device),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1999.04.20,반도체 소자의 바이폴라 트랜지스터 형성 방법(Method of forming a bipolar transistor in a semiconductordevice),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1998.12.31,반도체소자의 트랜지스터 형성방법_(FORMING METHOD OF TRANSISTOR OF SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.12.30,래치업방지를위한씨모스트랜지스터형성방법(METHOD FOR FABRICATING CMOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1998.12.31,반도체장치의 트랜지스터 제조방법(FABRICATION METHOD OF TRANSISTOR OF SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.12.30,반도체소자의 모스전계효과 트렌지스터 제조방법(METHOD FOR FABRICATING MOS FIELD EFFECT TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1998.12.31,트랜지스터의 제조방법 및 그 구조(FABRICATION METHOD AND CONSTRUCTION OF TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1998.12.31,반도체장치의 트랜지스터 제조방법(METHOD FOR FORMING TRANSISTOR OF SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.12.30,텅스텐폴리사이드구조를가진모스트랜지스터의게이트전극형성방법(A method for forming gate electrode with tungsten polycide structure in MOS transistor),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1998.12.22,박막 트랜지스터를 포함하는 반도체 소자_(SEMICONDUCTOR DEVICE INCLUDING THIN FILM TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1998.12.22,바텀 게이트형 박막 트랜지스터 제조방법_(MANUFACTURING METHOD OF THIN FILM TRANSISTOR OF BOTTOM GATE TYPE),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1998.12.22,에스램의 바텀 게이트형 박막 트랜지스터 제조방법(FABRICATION METHOD OF THIN FILM TRANSISTOR OF SRAM),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.10.28,폴리실리콘-박막 트랜지스터의 제조방법(METHOD OF MANUFACTURING POLYSILICON-THIN FILM TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1998.10.29,LDD구조의 트랜지스터 제조 방법(METHOD FOR MANUFACTURING TRANSISTOR HAVING LDD STRUCTURE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.10.29,금속트랜지스터제조방법(METHOD OF MANUFACTURING METAL TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.10.28,낮은접합커패시턴스를갖는에스오아이트랜지스터및그제조방법(SOI TRANSISTOR HAVING LOW JUNCTION CAPACITANCE AND MANUFACTURING METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.10.07,트랜지스터의게이트형성방법(Method for forming gate of transistor),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.06.26,박막 트랜지스터의 에치 스톱퍼 형성방법(ETCH STOPPER FORMING METHOD OF THIN FILM TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.06.29,래치업방지를 위한 소자분리막을 갖는 합체된 바이폴라 트랜지스터와 모스트랜지스터(COMBINED BIPOLAR TRANSISTOR AND MOS TRANSISTOR STRUCTURE AND ITS FABRICATING METHOD),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.06.29,씨모스트랜지스터의게이트전극형성방법(GATE ELECTRODE FORMING METHOD FOR CMOS TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.06.27,반도체소자의박막트랜지스터제조방법(THIN FILM TRANSISTOR MANUFACTURING METHOD OF SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.06.25,액정표시소자의폴리실리콘박막트랜지스터및그의제조방법(POLY-SILICON THIN FILM TRANSISTOR OF LIQUID CRYSTAL DISPLAY AND MANUFACTURING METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1998.06.30,박막 트랜지스터를 포함하는 반도체 소자 제조방법(METHOD FOR MANUFACTURING SEMICONDUCTOR DEVICES HAVING THIN FILM TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1998.06.08,반도체소자의트랜지스터형성방법(METHOD OF MANUFACTURING A TRANSISTOR OF A SEMICONDUCTOR DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1997.12.30,반도체장치의 제조방법(SEMICONDUCTOR FABRICATION METHOD FOR FORMING TRANSISTOR OF LDD STRUCTURE BY PERFORMING PHOTO-MASK PROCESS ONLY ONCE),에스케이하이닉스 주식회사(경기도 이천시...)
거절결정(일반),1997.12.30,"반도체 소자의 박막 트랜지스터 제조 방법(METHOD FOR MANUFACTURING A TFT(THIN FILM TRANSISTOR) OF A SEMICONDUCTOR DEVICE, PARTICULARLY CONCERNED WITH INCREASING BREAK DOWN VOLTAGE AND REDUCING LEAKAGE CURRENT)",에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1997.12.30,"스태틱 랜덤 액세스 메모리 셀의 제조 방법(MANUFACTURING METHOD OF A SRAM(STATIC RANDOM ACCESS MEMORY), PARTICULARLY CONCERNED WITH PROTECTING A TFT(THIN FILM TRANSISTOR) FROM DEFECT ELEMENTS)",에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1997.12.29,수평형에스오아이바이폴라모드전계효과트랜지스터및그형성방법(HORIZONTAL SOI BIPOLAR MODE FIELD EFFECT TRANSISTOR AND METHOD FOR FORMING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1997.12.29,모스형 전계효과 트랜지스터 및 그 형성방법(MOS TRANSISTOR AND FOR RORMING METHOD THEREOF),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1997.12.29,에스.오.아이 소자의 모스 전계효과 트랜지스터 및제조방법(FIELD EFFECT TRANSISTOR OF SOI DEVICE AND METHOD FOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
거절결정(일반),1997.12.29,"모스형 전계효과 트랜지스터 및 그 제조방법(MOSFET(METAL-OXIDE SILICON FIELD EFFECT TRANSISTOR) AND A MANUFACTURING METHOD THEREOF, PARTICULARLY CONCERNED WITH REDUCING ON-RESISTANCE AND INCREASING MUTUAL CONDUCTANCE BY INCREASING CHANNEL REGION WITHOUT INCREASING OF THE TRANSISTOR SIZE)",에스케이하이닉스 주식회사(경기도 이천시...)
취하(심사미청구),1997.12.27,"정전기 방지 소자를 구비하는 반도체 소자(SEMICONDUCTOR DEVICE HAVING An ELECTROSTATIC DISCHARGE DEVICE, PARTICULARLY CONCERNED WITH REDUCING TURN-ON VOLTAGE OF A TRANSISTOR AND PREVENTING DEVICES FROM BEING DAMAGED BY USING A BURIED CHANNEL TRANSISTOR AS AN INPUT PAD PROTECTION TRANSISTOR)",에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1997.12.27,에스.오.아이. 소자의 트랜지스터 제조방법(METHOD FOR MANUFACTURING TRANSISTOR SOI DEVICE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1997.12.27,미세 게이트 선폭을 갖는 모스트랜지스터의 특성검사를 위한 모스트랜지스터 테스트 패턴을 구비하는 반도체 장치(SEMICONDUCTOR DEVICE HAVING MOS TRANSISTOR TEST PATTERN FOR PERFORMING CHARACTERISTIC TEST OF MOS TRANSISTOR HAVING FINE LINE WIDTH OF GATE),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1997.12.27,모스트랜지스터 및 그 제조 방법(MOS TRANSISTOR HAVING THRESHOLD VOLTAGE CONTROLLED BY EPITAXIAL LAYER AND METHOD FOR MANUFACTURING THE SAME),에스케이하이닉스 주식회사(경기도 이천시...)
등록결정(일반),1997.12.27,모스 전계효과 트랜지스터의 제조방법(METAL OXIDE SEMICONDUCTOR FIELD EFFECT TRANSISTOR),에스케이하이닉스 주식회사(경기도 이천시...)
거절결정(일반),1997.12.29,"EEPROM 외장형 마이컴을 갖는 에뮬레이션 장치 및 방법(EMULATION APPARATUS WITH AN EXTERNAL ELECTRIC ERASABLE PROGRAMMABLE READ ONLY MEMORY-TYPE MICOM AND A METHOD USING THE SAME, ESPECIALLY FOR SIMPLIFYING THE CONFIGURATION THEREOF, REDUCING THE NUMBER OF TRANSISTOR TRANSISTOR LOGIC(TTL) TO REDUCE THE DELAY TIME)",에스케이하이닉스 주식회사(경기도 이천시...)
