심사진행상태,출원일자,발명의명칭,출원인
등록결정(일반),2005.01.07,불소계 고분자 박막을 포함하는 유기 박막 트랜지스터(Organic Thin Film Transistor comprising Fluorine-basedpolymer thin film),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.07.03,다층 구조의 게이트 절연막을 포함하는 유기 박막 트랜지스터(Organic Thin Film Transistor comprising Gate Insulator having Multi-layered Structure),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(심사전치후),2009.06.09,박막 트랜지스터 및 그 제조방법(Thin film transistor and manufacturing method of the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2010.01.12,산화물 박막 트랜지스터 및 그 제조 방법(Oxide thin film transistor and manufacturing method of the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2012.07.19,고전자이동도 트랜지스터 및 그 제조방법(High electron mobility transistor and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2007.02.07,박막 트랜지스터 표시판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FOR MANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2008.05.29,산화물 반도체 및 이를 포함하는 박막 트랜지스터(Oxide semiconductor and thin film transistor comprising the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(취소환송후),2007.12.06,산화물 반도체 및 이를 포함하는 박막 트랜지스터(Oxide Semiconductor and Thin Film Transistor comprising the same),삼성전자주식회사(경기도 수원시 영통구...)
,2021.03.29,고전자이동도 트랜지스터(High electron mobility transistor),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2007.02.15,박막 트랜지스터 및 그 제조 방법(Thin Film Transistor And Method for Manufacturing the Same),삼성전자주식회사(경기도 수원시 영통구...)|재단법인서울대학교산학협력재단(서울특별시 관악구...)
등록결정(일반),2012.10.09,고전자 이동도 트랜지스터 및 그 제조방법(High electron mobility transistor and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2012.08.16,트랜지스터를 포함하는 전자소자 및 그 동작방법(Electronic device including transistor and method of operating the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.07.11,박막 트랜지스터 표시판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FORMANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2012.09.28,노멀리 오프 고전자이동도 트랜지스터(Normally off high electron mobility transistor),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2010.12.10,트랜지스터 및 이를 포함하는 전자장치(Transistor and electronic device including the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2010.10.06,불순물 주입을 이용한 고출력 고 전자 이동도 트랜지스터 제조방법(Method of manufacturing High Electron Mobility Transistor having high power using impurity injection),삼성전자주식회사(경기도 수원시 영통구...)|경북대학교 산학협력단(대구광역시 북구...)
등록결정(일반),2007.04.20,선택적으로 결정화된 채널층을 갖는 박막 트랜지스터 및 그제조 방법(Thin Film Transistor having selectively crystallized channel layer and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2012.10.02,화학 센서 응용을 위한 박막 트랜지스터(THIN-FILM TRANSISTORS FOR CHEMICAL SENSOR APPLICATIONS),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2012.11.12,신축성 트랜지스터용 채널층(Channel layer for stretchable transistors),삼성전자주식회사(경기도 수원시 영통구...)|연세대학교 산학협력단(서울특별시 서대문구...)
등록결정(재심사후),2013.12.31,박막 트랜지스터 및 그 제조 방법(Thin Film Transistor and Method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)|서울대학교산학협력단(서울특별시 관악구...)
등록결정(일반),2009.12.21,전계효과 트랜지스터 및 이에 기반한 센서(Field Effect Transistor and Sensor based the Same),삼성전자주식회사(경기도 수원시 영통구...)|서울대학교산학협력단(서울특별시 관악구...)
등록결정(일반),2009.02.17,"박막 트랜지스터, 이의 제조방법 및 이를 이용한 액정표시장치(THIN-FILM TRANSISTOR, METHOD OF MANUFACTURING THE THIN-FILM TRANSISTOR, AND DISPLAY DEVICE USING THE SAME)",삼성디스플레이 주식회사(경기 용인시 기흥구...)|연세대학교 산학협력단(서울특별시 서대문구...)
등록결정(재심사후),2009.12.08,트랜지스터 및 상기 트랜지스터를 포함한 전자 장치(Transistor and electronic device comprising the transistor),삼성전자주식회사(경기도 수원시 영통구...)|서울대학교산학협력단(서울특별시 관악구...)
거절결정(일반),2013.11.05,고전자 이동도 트랜지스터 및 그 제조방법(High electron mobility transistor and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.06.17,선택 트랜지스터 및 그의 제조 방법(Selection transistor and method of fabricating the same),삼성전자주식회사(경기도 수원시 영통구...)
,2019.10.11,수직 전계 효과 트랜지스터를 포함하는 표준 셀(STANDARD CELL INCLUDING VERTICAL FIELD EFFECT TRANSISTOR),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2010.04.06,비트 라인 컨택 플러그와 매립형 채널 어레이 트랜지스터를 포함하는 반도체 소자의 제조 방법(Method of Fabricating a Semiconductor Device Including a bit Line Contact Plug and a Buried Channel Array Transistor),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(심사전치후),2007.09.19,유기 박막 트랜지스터 기판 및 이의 제조 방법(ORGANIC THIN FILM TRANSISTOR SUBSTRATE AND METHOD OF MANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2004.03.03,낮은 문턱 전압 및 높은 절연파괴 전압의 트랜지스터를구비하는 반도체 장치(Semiconductor Device Having Transistors With LowThreshold Voltage And High Breakdown Voltage),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2015.10.06,"박막 트랜지스터, 그 제조 방법, 그리고 상기 박막 트랜지스터를 포함하는 전자 장치(THIN FILM TRANSISTOR, METHOD OF MANUFACTURING SAME, AND ELECTRONIC DEVICE INCLUDING THIN SAME)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2012.04.20,핀형 전계 효과 트랜지스터를 구비한 반도체 소자(Semiconductor device including fin-type field effect transistor),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2013.03.08,고 전자이동도 트랜지스터(High electron mobility transistors),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2007.10.24,적층 레벨의 트랜지스터들을 갖는 집적 회로 반도체 소자및 그 제조방법(Integrated circuit semiconductor device having stacked level transistors portion and fabrication method thereof),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2004.12.21,매몰 게이트 패턴을 포함하는 전계 효과 트랜지스터구조물 및 그것을 포함하는 반도체 소자의 제조방법(Field effect transistor structure comprising a buriedgate pattern and method of manufacturing asemiconductor device comprising the field effecttransistor structure),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.10.15,"박막 트랜지스터 및 그 제조 방법, 이를 포함하는 유기 발광 표시 장치(THIN FILM TRANSISTOR AND MANUFACTURING METHOD THEREOF, ORGANIC LIGHT EMITTING DEVICE INCLUDING THE THIN FILM TRANSISTOR)",삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2007.07.18,박막 트랜지스터 표시판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FOR MANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
,2021.10.18,단일 집적 회로 칩의 다중-핀 수직 전계 효과 트랜지스터 및 단일-핀 수직 전계 효과 트랜지스터(MULTI-FIN VERTICAL FIELD EFFECT TRANSISTOR AND SINGLE-FIN VERTICAL FIELD EFFECT TRANSISTOR ON A SINGLE INTEGRATED CIRCUIT CHIP),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.11.17,박막 트랜지스터 표시판 및 이를 포함하는 액정 표시 장치(Thin film transistor array panel and liquid crystaldisplay including the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2005.08.18,유기 박막 트랜지스터 표시판 및 그 제조 방법(ORGANIC THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FORMANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2003.10.20,박막 트랜지스터 표시판 및 그의 제조 방법(Thin film transistor array panel and manufacturingmethod thereof),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.11.18,박막 트랜지스터 표시판 및 그의 제조 방법(Thin film transistor array panel and manufacturingmethod thereof),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2013.02.26,고전자이동도 트랜지스터의 게이트전압 조절 방법 및 장치(Method and apparatus for controlling a gate voltage in High electron mobility transistor),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2012.10.08,트렌치 게이트를 포함한 파워 모스 트랜지스터 및 그 제조방법(Power metal-oxide-semiconductor field effect transistor having trench gate and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2011.06.10,고 전자 이동도 트랜지스터 및 그 제조방법(High hlectron mobility transistor and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.04.03,동일 전계 효과 트랜지스터를 이용하여 생분자를 검출하는방법(Method of detecting bio-molecules using the same fieldeffect transistor),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.04.10,"금층을 포함하는 전계 효과 트랜지스터, 상기 전계 효과 트랜지스터를 포함하는 미세유동장치, 및 상기 전계 효과 트랜지스터 및 미세유동장치를 이용하여 티올기를 포함하는 분석물을 검출하는 방법(A field effect transistor comprising a gold layer, a microfluidic device comprising the field effect transistor and a method of detecting an analyte having a thiol group using the field effect transistor and microfluidic device)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.09.24,박막 트랜지스터 및 그 제조 방법(Thin Film Transistor and Manufacturing Method of the Same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2013.03.28,고전자이동도 트랜지스터(High electron mobility transistor),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2013.09.26,FinFET 소자를 위한 더미 셀 어레이 및 이를 포함한 반도체 집적 회로(Dummy cell array for FinFET(Fin Field Effect Transistor) device and semiconductor integrated circuit including the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2016.09.22,에어갭(air gap)을 갖는 핀 전계 효과 트랜지스터(FinFET) 및 그 제조 방법(Fin field effect transistor(FinFET) having air gap and method of fabricating the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2004.10.06,박막 트랜지스터 표시판 및 이를 포함하는 액정 표시 장치(THIN FILM TRANSISTOR ARRAY PANEL AND LIQUID CRYSTALDISPLAY INCLUDING THE SAME),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.12.10,박막 트랜지스터 표시판(THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FORMANUFACTURING THE PANEL),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2004.10.15,유기 반도체를 이용한 박막 트랜지스터 표시판 및 그 제조방법(Thin film transistor array panel using organicsemiconductor and manufacturing method thereof),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.12.12,"결정화용 광마스크 및 이를 이용한 박막 트랜지스터표시판의 제조 방법, 박막 트랜지스터 표시판(Opticmask for crystalization and manufacturing methodof thin film transistor array panel using the same,thin film transistor array panel)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.12.18,박막 트랜지스터의 제조방법(Method of manufacturing thin film transistor having lightly doped drain region),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2007.05.28,ZnO 계 박막 트랜지스터의 제조방법(Fabrication method of ZnO family Thin film transistor),삼성전자주식회사(경기도 수원시 영통구...)
,2016.08.18,MOL/인터 채널 간격에 대한 수평 나노시트 도전 채널 구조체를 포함하는 게이트 올 어라운드 전계 효과 트랜지스터 및 이와 관련된 셀 구조(GATE-ALL-AROUND FIELD EFFECT TRANSISTORS WITH HORIZONTAL NANOSHEET CONDUCTIVE CHANNEL STRUCTURES FOR MOL/INTER-CHANNEL SPACING AND RELATED CELL ARCHITECTURES),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(취소환송후),2010.07.30,"트랜지스터와 그 제조방법 및 트랜지스터를 포함하는 전자소자(Transistor, method of manufacturing the same and electronic device comprising transistor)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2012.07.10,파워 모스 트랜지스터의 게이트 구동회로(Circuit for Driving Power MOS Transistor),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2002.09.02,박막 트랜지스터 기판(Thin film transistor array panel),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2002.08.01,박막 트랜지스터 기판(Thin film transistor array panel),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2004.09.10,박막 트랜지스터 표시판 및 액정 표시 장치(THIN FILM TRANSISTOR ARRAY PANEL AND LIQUID CRYSTALDISPLAY),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.12.18,커패시터 없는 1-트랜지스터 메모리 셀을 갖는 반도체소자의 제조방법들(Methods of fabricating a semiconductor device having a capacitor-less one transistor memory cell),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2002.02.26,인듐징크옥사이드 식각액 조성물 및 이를 이용한 액정표시 장치의 박막 트랜지스터 기판의 제조방법(Etching Composition of Indium Zinc Oxide and Method OfManufacturing Thin Film Transistor Of Liquid CrystalDisplay Device Using The Same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(심사전치후),2007.10.16,박막트랜지스터 액정표시장치의 식각액 조성물(ETCHANT FOR THIN FILM TRANSISTOR-LIQUID CRYSTAL DISPLAYS),삼성디스플레이 주식회사(경기 용인시 기흥구...)|주식회사 동진쎄미켐(인천광역시 서구...)
등록결정(일반),2012.05.10,수직 채널 트랜지스터를 구비하는 반도체 장치 및 그 제조 방법(Semiconductor Device With Vertical Channel Transistor And Method Of Fabricating The Same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2010.01.25,"상보형 MOS 트랜지스터, 상기 상보형 MOS 트랜지스터를 포함하는 반도체 장치, 및 상기 반도체 장치를 포함하는 반도체 모듈(CMOS Transistor, Semiconductor Device Comprising The CMOS Transistor, Semiconductor Module Comprising The Semiconductor Device)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2009.10.15,박막 트랜지스터 표시판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FOR MANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2003.08.28,박막 트랜지스터 표시판과 그 제조 방법(Thin film transistor array panel and manufacturingmethod thereof),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(심사전치후),2004.09.08,박막 트랜지스터 표시판 및 그 제조방법(Thin film transistor array panel and method formanufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.08.11,박막 트랜지스터 표시판과 그 제조 방법(Thin film transistor array panel and manufacturingmethod thereof),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2013.11.04,박막 트랜지스터 및 그 제조방법(Thin film transistor and method for forming the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2011.03.03,박막 트랜지스터 및 박막 트랜지스터의 제조 방법(Thin film transistor and manufacturing method of the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(재심사후),2009.12.08,탄소나노튜브 트랜지스터 어레이 및 탄소 나노튜브 트랜지스터의 제조 방법(Carbon nanotube transistor array and Manufacturing Method of Carbon nanotube transistor),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2010.10.12,"트랜지스터와 그 제조방법 및 트랜지스터를 포함하는 전자소자(Transistor, method of manufacturing the same and electronic device comprising transistor)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2009.01.09,산화물 반도체 및 이를 포함하는 박막 트랜지스터(Oxide semiconductor and thin film transistor comprising the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(취소환송후),2008.09.11,박막 트랜지스터 및 그 제조 방법(Thin film transistor and manufacturing methof of the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.02.19,"유기 절연체 조성물, 이를 이용하는 유기 절연층 및 유기 박막 트랜지스터(ORGANIC INSULATOR COMPOSITION AND ORGANIC INSULATING LAYER AND ORGANIC THIN FILM TRANSISTOR USING THE SAME)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2007.02.09,박막 트랜지스터 및 그 제조방법(Thin film transistor and method for forming the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2006.09.18,측면 결정화된 반도체층의 제조방법 및 이를 이용한 박막트랜지스터의 제조방법(Method of manufacturing laterally crystallizedsemiconductor layer and method of manufacturing thinfilm transistor using the same method),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2007.02.28,박막 트랜지스터 및 그 제조 방법(Thin Film Transistor and method of manufacturing the same),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2013.02.13,박막 트랜지스터 표시판 및 그 제조 방법과 상기 박막 트랜지스터 표시판을 포함하는 전자 소자(THIN FILM TRANSISTOR PANEL AND METHOD OF MANUFACTURING THE SAME AND ELECTRONIC DEVICE INCLUDING THE THIN FILM TRANSISTOR PANEL),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2005.03.09,유기 박막 트랜지스터 표시판 및 그 제조 방법(ORGANIC THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FORMANUFACTURING THE SAME),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2004.09.25,변형된 채널층을 갖는 모스 트랜지스터 및 그 제조방법(MOS transistor having strained channel layer andmethods of manufacturing thereof),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.05.02,박막 트랜지스터 표시판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND MANUFACTURING METHOD OF THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2008.09.22,박막 트랜지스터 기판 및 그 제조 방법(THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FOR MANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2007.07.24,유기 박막 트랜지스터 표시판 및 그 제조 방법(ORGANIC THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FOR MANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2004.10.11,"박막 트랜지스터, 박막 트랜지스터 표시판 및 표시 장치(THIN FILM TRANSISTOR, THIN FILM TRANSISTOR ARRAYPANEL, AND DISPLAY DEVICE)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.10.20,박막 트랜지스터 표시판(Thin film transistor array panel),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2008.10.14,실록산막 및 이를 포함하는 산화물 박막 트랜지스터(Siloxane layer and Oxide Thin Film Transistor using the Same),삼성전자주식회사(경기도 수원시 영통구...)|전남대학교산학협력단(광주광역시 북구...)
등록결정(일반),2005.09.30,유기 박막 트랜지스터 표시판 및 그 제조 방법(ORGANIC THIN FILM TRANSISTOR ARRAY PANEL AND METHOD FORMANUFACTURING THE SAME),삼성디스플레이 주식회사(경기 용인시 기흥구...)
등록결정(일반),2003.10.02,박막 트랜지스터 표시판의 제조 방법(Manufacturing method for thin film transistor arraypanel),삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2003.11.07,"박막 트랜지스터 표시판 및 그를 포함하는 액정 표시장치, 액정 표시 패널의 불량 검사 방법(Thin film transistor array panel and manufacturingmethod thereof, testing method for error of liquidcrystal display panel)",삼성전자주식회사(경기도 수원시 영통구...)
등록결정(일반),2002.02.07,유니-트랜지스터 랜덤 액세스 메모리 장치 및 그것의 제어방법(UNI-TRANSISTOR RANDOM ACCESS MEMORY DEVICE AND CONTROLMETHOD THEREOF),삼성전자주식회사(경기도 수원시 영통구...)
,2019.08.26,"박막 트랜지스터, 박막 트랜지스터 어레이 및 전자 장치(THIN FILM TRANSISTOR AND THIN FILM TRANSISTOR ARRAY AND ELECTRONIC DEVICE)",삼성전자주식회사(경기도 수원시 영통구...)|더 보드 어브 트러스티스 어브 더 리랜드 스탠포드  주니어 유니버시티(미국 *****-**** 캘리포니아주 스탠포드 피오 박스 ***** 메인 쿼드 빌딩 *** *층 오피스 오브 더 제너럴 카운셀)
등록결정(일반),2004.11.26,매립 절연막을 구비하는 트랜지스터의 제조방법 및 그에의하여 제조된 트랜지스터(method of fabricating transistor including buriedinsulating layer and transistor fabricated thereby),삼성전자주식회사(경기도 수원시 영통구...)
